City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
277,Sao Filipe,CV,71.38,broken clouds,14.8961,-24.4956,Hotel Xaguate
278,Pangkalanbuun,ID,81.07,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
279,Beloha,MG,72.7,broken clouds,-25.1667,45.05,
283,San Nicolas,PH,83.62,overcast clouds,18.1725,120.5953,NORTHVIEW Hotel
285,Champerico,GT,84.63,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
289,Lalibela,ET,60.85,few clouds,12.0333,39.0333,Honey Land Hotel Lalibela
292,Galesong,ID,84.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
293,Port Blair,IN,82.44,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
294,Touros,BR,78.85,clear sky,-5.1989,-35.4608,INN NEW HORIZON
296,Salur,IN,82.62,scattered clouds,18.5333,83.2167,SATYAM NAIDU FARM HOUSE ( సత్యం నాయుడు వ్యవసాయ క్షేత్రం )
299,Tsiroanomandidy,MG,63.7,clear sky,-18.7667,46.0333,Hotel Ravinala
303,Cuauhtemoc,MX,68.54,scattered clouds,28.4167,-106.8667,Motel Tarahumara Inn
306,Ahvaz,IR,71.55,clear sky,31.3203,48.6693,tashrifat tourism travel agency
308,Ternate,ID,83.62,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
309,The Valley,AI,78.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
310,Mana,GF,76.69,scattered clouds,5.6592,-53.7767,LE SAMANA
313,Aripuana,BR,74.19,broken clouds,-9.1667,-60.6333,
315,Padang,ID,82.45,broken clouds,-0.9492,100.3543,Mercure Padang
316,Hualmay,PE,66.69,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
317,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
318,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
319,Awbari,LY,76.17,clear sky,26.5921,12.7805,فندق أوباري
323,Nhulunbuy,AU,86.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
325,Geraldton,AU,68.41,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
326,Carutapera,BR,76.77,light rain,-1.195,-46.02,Lidera
327,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
328,Burnie,AU,66.92,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
330,Sechura,PE,70.77,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
331,Bang Saphan,TH,82.15,broken clouds,11.2126,99.5117,Ladawan Boutique Hotel
332,Palmer,US,65.75,overcast clouds,42.1584,-72.3287,Wedgewood Motel
334,Mataram,ID,86.81,clear sky,-8.5833,116.1167,Hotel Santika Mataram
335,Matou,CN,60.13,scattered clouds,29.8315,115.5774,Wuxue Station Hostel
341,Florianopolis,BR,69.37,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
343,La Palma,US,71.91,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
344,Begoro,GH,71.85,overcast clouds,6.3871,-0.3774,Sweet Memories Hotel
345,Mahajanga,MG,71.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
347,Tura,IN,74.44,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
351,Afikpo,NG,75.31,moderate rain,5.8931,7.9374,P. Noble Hotels and Suite
352,Bengkulu,ID,79.43,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
353,Kaeo,NZ,73.33,scattered clouds,-35.1,173.7833,Bushido Lodge
355,Maragogi,BR,77.67,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
356,Payo,ID,75.72,overcast clouds,-3.7508,103.6372,Mess keban agung
359,Rizal,PH,85.71,overcast clouds,15.7118,121.1061,AM Traveller's Inn
360,San Vicente,AR,62.13,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
361,Soyo,AO,77.83,overcast clouds,-6.1349,12.3689,Hotel Mpampa
362,Roebourne,AU,89.01,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
363,Jega,NG,88.32,broken clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
364,Sibolga,ID,80.53,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
365,Myanaung,MM,83.48,clear sky,18.2833,95.3167,Taung Hlay Khar
367,Banda Aceh,ID,82.2,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
