City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Kruisfontein,ZA,-34.0033,24.7314,57.88,83,24,7.96,few clouds
123,Aklavik,CA,68.2191,-135.0107,8.1,75,1,10.16,clear sky
124,Keetmanshoop,NA,-26.5833,18.1333,66.72,38,31,1.52,scattered clouds
125,Bouloupari,NC,-21.8667,166.05,85.91,65,44,3.13,scattered clouds
126,Boyolangu,ID,-8.1181,111.8935,80.85,77,1,1.07,clear sky
127,Cabo San Lucas,MX,22.8909,-109.9124,78.1,50,75,10.36,broken clouds
128,Henties Bay,NA,-22.116,14.2845,59.36,86,47,4.12,scattered clouds
129,Todos Santos,MX,23.45,-110.2167,68.45,70,100,7.99,overcast clouds
130,Caravelas,BR,-17.7125,-39.2481,76.12,87,47,5.82,scattered clouds
131,Mackay,AU,-21.15,149.2,84.69,65,92,14.9,overcast clouds
132,Kahului,US,20.8947,-156.47,84.22,61,40,23.02,scattered clouds
133,Marsh Harbour,BS,26.5412,-77.0636,75.18,73,100,18.57,overcast clouds
134,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,48,0,2.3,clear sky
135,Hithadhoo,MV,-0.6,73.0833,83.75,73,100,9.8,overcast clouds
136,Lorengau,PG,-2.0226,147.2712,85.77,69,99,9.1,overcast clouds
137,Ghanzi,BW,-21.5667,21.7833,69.46,47,1,4.36,clear sky
138,Chokurdakh,RU,70.6333,147.9167,2.89,87,6,3.96,clear sky
139,Narsaq,GL,60.9167,-46.05,48.42,60,100,6.51,overcast clouds
140,Kyaikkami,MM,16.08,97.5675,83.16,72,23,8.75,few clouds
141,Rivera,UY,-30.9053,-55.5508,51.01,55,0,7.07,clear sky
142,Prince Rupert,CA,54.3161,-130.3201,42.89,33,0,16.11,clear sky
143,Cape Coast,GH,5.1053,-1.2466,79.93,83,93,10.04,overcast clouds
144,Nome,US,64.5011,-165.4064,37.17,75,100,9.22,overcast clouds
145,Florence,IT,43.7667,11.25,57.29,67,0,1.14,clear sky
146,Porto Belo,BR,-27.1578,-48.5531,73.35,90,100,12.62,overcast clouds
147,Vao,NC,-22.6667,167.4833,75.88,70,10,4.81,clear sky
148,General Pico,AR,-35.6566,-63.7568,53.64,57,0,6.22,clear sky
149,Vohibinany,MG,-17.35,49.0333,69.66,99,39,1.97,scattered clouds
150,Kerman,IR,30.2832,57.0788,51.66,37,0,4.61,clear sky
151,Freeport,US,40.6576,-73.5832,64.38,75,0,6.91,clear sky
152,Ballina,AU,-28.8667,153.5667,71.78,87,99,12.66,overcast clouds
153,Languyan,PH,5.2618,120.0807,82.63,71,100,0.63,overcast clouds
154,Bud,US,39.447,-86.1758,61.68,97,100,20.42,heavy intensity rain
155,Constitucion,CL,-35.3333,-72.4167,55.98,57,0,8.5,clear sky
156,Goderich,CA,43.7501,-81.7165,61.12,88,100,17.27,overcast clouds
157,Luderitz,NA,-26.6481,15.1594,60.42,83,6,10.09,clear sky
158,Cap Malheureux,MU,-19.9842,57.6142,78.48,83,24,8.99,few clouds
159,Evensk,RU,61.95,159.2333,26.8,86,100,9.93,overcast clouds
160,Provideniya,RU,64.3833,-173.3,30.36,86,100,15.99,light snow
161,Naze,JP,28.3667,129.4833,70.72,84,96,7.96,overcast clouds
162,Krasnoslobodsk,RU,48.7072,44.5714,42.62,81,75,17.9,broken clouds
163,Kourou,GF,5.1552,-52.6478,81.1,88,97,10.27,overcast clouds
164,Ahipara,NZ,-35.1667,173.1667,66.9,53,81,12.37,broken clouds
165,Pisco,PE,-13.7,-76.2167,66.02,82,0,8.05,clear sky
166,Molo,KE,-0.2479,35.7374,55.74,82,99,2.82,overcast clouds
167,Harbour Breton,CA,47.4833,-55.7983,36.21,73,100,13.87,overcast clouds
168,Lebu,CL,-37.6167,-73.65,52.21,89,0,16.28,clear sky
169,Jijiga,ET,9.35,42.8,67.51,62,85,0.25,light rain
170,Am Timan,TD,11.0297,20.2827,85.93,48,100,7.61,overcast clouds
171,Beroroha,MG,-21.6667,45.1667,72.72,76,5,4.92,clear sky
172,Fort Frances,CA,48.5999,-93.4003,34.02,65,100,10.36,snow
173,Arvi,IN,20.9833,78.2333,90.54,30,88,3.22,overcast clouds
174,Marsa Matruh,EG,31.3525,27.2453,58.51,67,49,10.33,scattered clouds
175,Vicar,ES,36.8316,-2.6427,56.21,81,63,3.4,broken clouds
176,Leningradskiy,RU,69.3833,178.4167,6.28,91,90,14.38,overcast clouds
177,Kingsland,US,30.8,-81.6898,73.02,80,100,9.01,overcast clouds
178,Monze,ZM,-16.2833,27.4833,63.57,78,89,2.68,overcast clouds
179,Yinchuan,CN,38.4681,106.2731,49.84,37,100,6.64,overcast clouds
180,Harlingen,US,26.1906,-97.6961,88.05,56,0,10.36,clear sky
181,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,45,75,13.42,broken clouds
182,Erenhot,CN,43.6475,111.9767,37.15,27,6,14.07,clear sky
183,San Antonio,US,29.4241,-98.4936,87.06,17,0,10.36,clear sky
184,Rodrigues Alves,BR,-7.738,-72.6509,73.36,99,100,2.62,overcast clouds
185,Saint-Pierre,RE,-21.3393,55.4781,73.29,89,20,5.75,few clouds
186,Caucaia,BR,-3.7361,-38.6531,82.35,74,40,4.61,scattered clouds
187,Xixiang,CN,35.1628,112.865,60.35,39,100,6.22,overcast clouds
188,Coahuayana,MX,18.7333,-103.6833,76.12,81,100,3.2,overcast clouds
189,Morehead,US,37.2711,-87.1764,62.35,97,100,5.75,heavy intensity rain
190,Sainte-Suzanne,RE,-20.9061,55.6089,75.38,94,75,18.41,light rain
191,Cervo,ES,43.6702,-7.4101,52.32,87,100,4.54,overcast clouds
192,Sitka,US,57.0531,-135.33,44.49,18,0,10.36,clear sky
193,Cidreira,BR,-30.1811,-50.2056,68.14,72,100,7.96,overcast clouds
194,Turbat,PK,26.0023,63.044,82.62,27,87,2.53,overcast clouds
195,Grand-Lahou,CI,5.1367,-5.0242,80.65,85,97,10.65,overcast clouds
196,Pathein,MM,16.7833,94.7333,85.12,60,11,10.09,few clouds
197,Meadow Lake,US,34.8014,-106.5436,56.84,4,1,21.83,clear sky
198,Graham,US,47.0529,-122.2943,45.66,90,100,8.05,light intensity drizzle
199,Qaanaaq,GL,77.484,-69.3632,-2.07,93,100,5.99,overcast clouds
200,Monywa,MM,22.1167,95.1333,87.3,51,22,16.4,few clouds
201,Faanui,PF,-16.4833,-151.75,81.41,73,17,14.03,few clouds
202,Mahebourg,MU,-20.4081,57.7,78.26,88,75,14.97,broken clouds
203,Lesnoye,RU,58.2841,35.5158,28.04,99,39,2.75,scattered clouds
204,Dauphin,CA,51.1494,-100.0502,26.74,96,100,29.93,overcast clouds
205,Mocuba,MZ,-16.8392,36.9856,70.54,98,11,3.49,few clouds
206,Severo-Kurilsk,RU,50.6789,156.125,30.45,78,96,26.64,light snow
207,Camacha,PT,33.0833,-16.3333,58.42,72,40,8.05,scattered clouds
208,Namtsy,RU,62.7161,129.6658,27.54,88,100,8.88,overcast clouds
209,Gigmoto,PH,13.7796,124.39,83.3,70,78,5.08,broken clouds
210,Yulara,AU,-25.2406,130.9889,87.64,20,87,6.91,overcast clouds
211,Kyshtovka,RU,56.555,76.6271,32.47,89,0,6.24,clear sky
212,Xacmaz,AZ,41.4635,48.806,42.6,91,12,6.33,few clouds
213,Hunchun,CN,42.8675,130.3581,50.72,32,100,8.23,overcast clouds
214,Messina,IT,38.1933,15.5497,58.17,74,40,20.71,scattered clouds
215,Rio Gallegos,AR,-51.6226,-69.2181,57.25,51,20,20.71,few clouds
216,Los Zacatones,MX,22.95,-102.05,74.08,6,100,8.79,overcast clouds
217,Playa Del Carmen,MX,20.6274,-87.0799,80.62,82,75,9.22,broken clouds
218,Alta Floresta,BR,-9.8756,-56.0861,74.26,91,11,2.04,few clouds
219,Cayenne,GF,4.9333,-52.3333,81.09,1,75,8.01,broken clouds
220,Hami,CN,42.8,93.45,49.91,16,0,18.16,clear sky
221,Hasaki,JP,35.7333,140.8333,54.0,86,100,26.08,overcast clouds
222,Quelimane,MZ,-17.8786,36.8883,78.75,89,0,5.75,clear sky
223,Svetlyy,RU,54.675,20.1347,44.65,68,100,9.22,overcast clouds
224,Varhaug,NO,58.6147,5.6457,44.85,89,100,8.41,overcast clouds
225,Victoria,HK,22.2855,114.1577,79.03,73,0,8.01,clear sky
226,Bratsk,RU,56.1325,101.6142,32.49,71,100,8.12,overcast clouds
227,San Patricio,US,28.017,-97.5169,86.72,82,0,11.77,clear sky
228,Zhangjiakou,CN,40.81,114.8794,41.67,42,89,13.15,overcast clouds
229,Cherskiy,RU,68.75,161.3,10.99,88,100,8.66,overcast clouds
230,Eirunepe,BR,-6.6603,-69.8736,74.86,95,100,1.1,overcast clouds
231,Brae,GB,60.3964,-1.353,42.31,78,49,11.9,scattered clouds
232,Asosa,ET,10.0667,34.5333,66.67,62,46,4.9,light rain
233,Pinega,RU,64.7001,43.3936,25.59,94,72,6.4,broken clouds
234,Gueret,FR,46.1667,1.8667,44.6,99,100,1.99,overcast clouds
235,Kasongo-Lunda,CD,-6.4667,16.8167,69.87,98,100,2.17,overcast clouds
236,Odweyne,SO,9.4092,45.064,76.32,52,100,11.56,light rain
237,Fairbanks,US,64.8378,-147.7164,44.24,31,75,1.99,broken clouds
238,North Platte,US,41.1239,-100.7654,39.09,27,0,19.57,clear sky
239,Rawson,AR,-43.3002,-65.1023,61.12,42,4,6.51,clear sky
240,Potsdam,DE,52.3989,13.0657,58.05,70,46,4.36,scattered clouds
241,Ortakoy,TR,38.7373,34.0387,25.05,50,1,4.23,clear sky
242,Hambantota,LK,6.1241,81.1185,79.63,83,88,9.4,overcast clouds
